"Results from the British Library's Shine interface, (webarchive.org.uk/shine), on 02/08/2022."
"Search Summary: Search Term(s): ""Olympic legacy"", Crawl Year: (Include) ""2013"", Domain: (Include) ""guardian.co.uk"""
Title, Host, Public Suffix, Crawl Year, Content Type, Content Language, Crawl Date, URL, Wayback Date, URL
"Law: Inside justice | guardian.co.uk","www.guardian.co.uk","co.uk","2013","other","en","2013-01-01 17:25:17","http://web.archive.org/web/20130101172517/http://www.guardian.co.uk/law/series/inside-justice/rss","20130101172517","http://www.guardian.co.uk/law/series/inside-justice/rss" 
"Global: Harry Venning | guardian.co.uk","www.guardian.co.uk","co.uk","2013","other","en","2013-01-01 19:13:14","http://web.archive.org/web/20130101191314/http://www.guardian.co.uk/profile/harryvenning/rss","20130101191314","http://www.guardian.co.uk/profile/harryvenning/rss" 
"Sport: Mo Farah | guardian.co.uk","www.guardian.co.uk","co.uk","2013","other","en","2013-01-01 20:43:49","http://web.archive.org/web/20130101204349/http://www.guardian.co.uk/sport/mo-farah/rss","20130101204349","http://www.guardian.co.uk/sport/mo-farah/rss" 
"Energy Bits – young people doing their bit to improve the environment | Daniel Melandri | Science | Guardian Professional","www.guardian.co.uk","co.uk","2013","html","en","2013-01-01 21:12:50","http://web.archive.org/web/20130101211250/http://www.guardian.co.uk/science/blog/2012/dec/07/energy-bits-young-people-improve-environment","20130101211250","http://www.guardian.co.uk/science/blog/2012/dec/07/energy-bits-young-people-improve-environment" 
"Teacher Network | guardian.co.uk","www.guardian.co.uk","co.uk","2013","other","en","2013-01-01 21:13:08","http://web.archive.org/web/20130101211308/http://www.guardian.co.uk/teacher-network/rss","20130101211308","http://www.guardian.co.uk/teacher-network/rss" 
"Education: Teaching | guardian.co.uk","www.guardian.co.uk","co.uk","2013","other","en","2013-01-01 21:13:35","http://web.archive.org/web/20130101211335/http://www.guardian.co.uk/education/teaching/rss","20130101211335","http://www.guardian.co.uk/education/teaching/rss" 
"Guardian Small Business Network: Winning new business | guardian.co.uk","www.guardian.co.uk","co.uk","2013","other","en","2013-01-01 21:19:56","http://web.archive.org/web/20130101211956/http://www.guardian.co.uk/small-business-network/winning-new-business/rss","20130101211956","http://www.guardian.co.uk/small-business-network/winning-new-business/rss" 
"Education: Schools | guardian.co.uk","www.guardian.co.uk","co.uk","2013","other","en","2013-01-02 01:46:02","http://web.archive.org/web/20130102014602/http://www.guardian.co.uk/education/schools/rss","20130102014602","http://www.guardian.co.uk/education/schools/rss" 
"Film: Daniel Craig | guardian.co.uk","www.guardian.co.uk","co.uk","2013","other","en","2013-01-02 02:58:28","http://web.archive.org/web/20130102025828/http://www.guardian.co.uk/film/danielcraig/rss","20130102025828","http://www.guardian.co.uk/film/danielcraig/rss" 
"Education: Schools | guardian.co.uk","www.guardian.co.uk","co.uk","2013","other","en","2013-01-02 04:31:51","http://web.archive.org/web/20130102043151/http://www.guardian.co.uk/education/schools/rss","20130102043151","http://www.guardian.co.uk/education/schools/rss" 
