source,target,type
b2_02,Q1677782,undirected
b2_02,Q134461,undirected
b2_02,Q134461,undirected
b2_02,Q1048,undirected
b2_02,Q193800,undirected
b2_02,Q6697596,undirected
b2_02,Q223440,undirected
b2_02,Q47154,undirected
b2_02,Q47154,undirected
b2_02,Q47154,undirected
b2_02,Q1430,undirected
b2_02,Q539514,undirected
b2_02,Q181585,undirected
b2_02,Q457994,undirected
b2_02,Q130650,undirected
b2_02,Q859,undirected
b2_02,Q859,undirected
b2_02,Q859,undirected
b2_02,Q41523,undirected
b2_02,Q41523,undirected
b2_02,Q913,undirected
b2_02,Q913,undirected
b2_02,Q913,undirected
b2_02,Q381048,undirected
b2_02,Q172048,undirected
b2_02,Q1407,undirected
b2_02,Q1228715,undirected
b2_02,Q714821,undirected
b2_02,Q47652,undirected
b2_02,Q1398,undirected
b2_02,Q1398,undirected
b2_02,Q1398,undirected
b2_02,Q1479,undirected
b2_02,Q327766,undirected
b2_02,Q327766,undirected
b2_02,Q46,undirected
b2_02,Q838931,undirected
b2_02,Q90,undirected
b2_02,Q41741,undirected
b2_03,Q204397,undirected
b2_03,Q299479,undirected
b2_03,Q8409,undirected
b2_03,Q241386,undirected
b2_03,Q359687,undirected
b2_03,Q11906123,undirected
b2_03,Q204760,undirected
b2_03,Q1405,undirected
b2_03,Q1405,undirected
b2_03,Q8249134,undirected
b2_03,Q2531578,undirected
b2_03,Q311742,undirected
b2_03,Q180081,undirected
b2_03,Q218102,undirected
b2_03,Q108926,undirected
b2_03,Q1774128,undirected
b2_03,Q310811,undirected
b2_03,Q310811,undirected
b2_03,Q310811,undirected
b2_03,Q8423,undirected
b2_03,Q8423,undirected
b2_03,personb20301,undirected
b2_03,Q59138,undirected
b2_03,Q59180,undirected
b2_03,Q664061,undirected
b2_03,personb20304,undirected
b2_03,Q207370,undirected
b2_03,Q11924631,undirected
b2_03,Q36456,undirected
b2_03,Q437876,undirected
b2_03,Q6197,undirected
b2_03,Q6197,undirected
b2_03,personb20302,undirected
b2_03,Q302,undirected
b2_03,Q134461,undirected
b2_03,Q11929337,undirected
b2_03,Q11929337,undirected
b2_03,Q188646,undirected
b2_03,Q1076644,undirected
b2_03,Q431201,undirected
b2_03,Q47154,undirected
b2_03,Q47154,undirected
b2_03,Q776343,undirected
b2_03,Q318718,undirected
b2_03,Q172248,undirected
b2_03,Q2098,undirected
b2_03,Q2098,undirected
b2_03,Q182070,undirected
b2_03,Q1150,undirected
b2_03,Q1413,undirected
b2_03,Q1424,undirected
b2_03,Q1267360,undirected
b2_03,personb20303,undirected
b2_03,personb20303,undirected
b2_03,Q9200,undirected
b2_03,Q6071438,undirected
b2_03,Q130650,undirected
b2_03,Q130650,undirected
b2_03,Q237248,undirected
b2_03,Q859,undirected
b2_03,Q859,undirected
b2_03,Q82778,undirected
b2_03,Q82778,undirected
b2_03,Q710851,undirected
b2_03,Q710851,undirected
b2_03,Q101617381,undirected
b2_03,Q264502,undirected
b2_03,Q233444,undirected
b2_03,Q2054,undirected
b2_03,Q2054,undirected
b2_03,Q2054,undirected
b2_03,Q2054,undirected
b2_03,Q2054,undirected
b2_03,Q355350,undirected
b2_03,Q3122988,undirected
b2_03,Q295228,undirected
b2_03,Q295228,undirected
b2_03,Q295228,undirected
b2_03,Q4430668,undirected
b2_03,Q325955,undirected
b2_03,Q325955,undirected
b2_03,Q19999354,undirected
b2_03,Q2161,undirected
b2_03,Q20006645,undirected
b2_03,Q1407,undirected
b2_03,Q1407,undirected
b2_03,Q379991,undirected
b2_03,Q1398,undirected
b2_03,Q1398,undirected
b2_03,Q3560827,undirected
b2_03,Q3560827,undirected
b2_03,personb20305,undirected
b2_03,Q129165,undirected
b2_03,Q48,undirected
b2_03,Q48,undirected
b2_03,Q11907034,undirected
b2_03,Q3136685,undirected
b2_03,Q19936,undirected
b2_03,Q1268859,undirected
b2_03,Q11266977,undirected
b2_03,Q173096,undirected
b2_03,Q142,undirected
b2_03,Q170488,undirected
b2_03,Q214109,undirected
b2_03,Q214109,undirected
b2_03,Q61089,undirected
b2_03,Q23482,undirected
b2_03,Q989650,undirected
b2_03,Q78967,undirected
b2_03,Q17167,undirected
b2_03,Q17167,undirected
b2_03,Q17167,undirected
b2_03,Q204127,undirected
b2_03,personb20306,undirected
b2_03,Q7880,undirected
b2_04,Q2860079,undirected
b2_04,personb20401,undirected
b2_04,Q462371,undirected
b2_04,Q1048,undirected
b2_04,Q18999,undirected
b2_04,Q18999,undirected
b2_04,Q18999,undirected
b2_04,personb20402,undirected
b2_04,Q316059,undirected
b2_04,Q41523,undirected
b2_04,Q41523,undirected
b2_04,Q41523,undirected
b2_04,Q129772,undirected
b2_04,Q11772,undirected
b2_04,Q17167,undirected
b2_04,Q17167,undirected
b2_04,Q495,undirected
b2_05,Q8409,undirected
b2_05,Q15872635,undirected
b2_05,Q294800,undirected
