id,label,type,book
Q47180,Petronius,person,
Q380190,Phaedo of Elis,person,
personb30505,Phaulius the Argian,person,
personb30401,Philibert de Gramont ,person,
Q130650,Philip II of Macedon,person,
Q34417,Philip II of Spain,person,
Q237248,Philip V of Macedon,person,
Q3381039,Philippides,person,
Q7185568,Philistis,person,
Q346665,Philotas,person,
Q175942,Phocion,person,
Q11922151,Phyton,person,
Q137727373,"Pierre de Montaigne, seigneur de la Brousse",person,
Q552017,"Pierre Terrail, seigneur de Bayard",person,
Q296272,Pietro Aretino,person,
Q334188,Pietro Bembo,person,
Q311835,Pittacus of Mytilene,person,
Q859,Plato,person,
Q82778,Pliny the Elder,person,
Q41523,Plutarch,person,
Q553856,Polemon,person,
Q15066851,Pollis,person,
Q131169,Polybius,person,
Q125414,Pompey,person,
Q20108684,Pontia Postumina,person,
Q105290,Praxiteles,person,
Q206878,Priapus,person,
Q83160,Prometheus,person,
Q8827,Propertius,person,
Q316278,Psamtik III,person,
Q1227416,Ptolemy,person,
Q39576,Ptolemy II Philadelphus,person,
Q363375,Publilius Syrus,person,
Q214765,Publius Quinctilius Varus,person,
Q3631240,Publius Sulpicius Rufus,person,
Q172353,Pyrrhus,person,
Q10261,Pythagoras,person,
Q193769,Quintilian,person,
Q5959,Quintus Curtius Rufus,person,
Q710851,Quintus Fulvius Flaccus,person,
Q348926,Quintus Petillius Cerialis,person,
Q316054,Quintus Tullius Cicero,person,
Q135004989,Raïsciac,person,
Q101617381,Razis,person,
Q3027239,Rhescuporis II,person,
Q187312,Robert I of Scotland,person,
Q264502,Saint Pelagia,person,
Q2253,Scipio Africanus,person,
Q233444,Scribonia,person,
Q2054,Seneca,person,
Q355350,Servius,person,
Q3122988,Sextia,person,
Q295228,Sextus Pompey,person,
Q302936,Sidonius Apollinaris,person,
Q160614,Skanderbeg,person,
Q913,Socrates,person,
Q133337,Solon,person,
Q7235,Sophocles,person,
Q4430668,Spargapises,person,
Q325955,Speusippus,person,
Q2311453,Sphaerus,person,
Q19999354,Statius Proximus,person,
Q381048,Stilpo,person,
Q316353,Strato of Lampsacus,person,
Q7631930,Subrius Flavus,person,
Q483783,Sulla,person,
Q2161,Tacitus,person,
Q562284,Teodoro Trivulzio,person,
Q172048,Terence,person,
Q3518324,Terentia,person,
Q36303,Thales,person,
Q1246563,Thalestris,person,
Q20006645,Theodotus of Epirus,person,
personb20306,Therykion,person,
Q9438,Thomas Aquinas,person,
Q921574,Thomas de Foix-Lescun,person,
Q26198012,Thrasonides of Elis,person,
Q1407,Tiberius,person,
Q109598,Tibullus,person,
Q1228715,Tillius Cimber,person,
Q451587,Timoleon,person,
Q8462,Timur,person,
Q656881,Tiresias,person,
Q2039,Titus Livius,person,
Q714821,Titus Manlius Imperiosus Torquatus,person,
Q311733,Titus Pomponius Atticus,person,
Q349222,Titus Quinctius Flamininus,person,
Q379991,Valerius Maximus,person,
Q135013681,Veianius Niger,person,
Q47652,Venus,person,
Q1398,Virgil,person,
Q3560827,Virrius Vibius,person,
Q4640,Vulcan,person,
Q218186,Vytautas,person,
Q68012,"Welf VI, Margrave of Tuscany",person,
personb20305,wife of Fulvius,person,
Q129772,Xenophon,person,
Q129165,Xerxes I,person,
Q311291,Yaropolk I of Kiev,person,
Q171303,Zeno of Citium,person,
Q389688,Achaemenid Empire,place,
Q11768,Ancient Egypt,place,
Q11772,Ancient Greece,place,
Q4420718,ancient Syracuse,place,
Q200441,Antioch,place,
Q23822737,Arginusae,place,
Q676745,Armagnac,place,
Q48,Asia,place,
Q11907034,Astapa,place,
Q1152,Auvergne,place,
Q39193,Bohemia,place,
Q1479,Bordeaux,place,
Q6221,Brescia,place,
Q193478,Buda,place,
Q568611,Cannae,place,
Q3136685,Capua,place,
Q327766,Castres,place,
Q5705,Catalonia,place,
Q18869,Caucasus,place,
Q19936,Ceresole Alba,place,
Q1333383,Château de Montaigne,place,
